ID,SampleID,Section,Treatment,Temperature,ActualExperimentalTemp,Timepoint,Day,Replicate,dmdA_A1uL.16Scopies,dddPuL.16Scopies,dddP.dmdA_Ratio,16S_copies,DMSP_nmol.ml,DMSO_nmol.ml
1,Mucus_C27_T0_1,Mucus,Control_27,27,27,T0,1,1,0,0.015456807,0,0,1.858333333,0.125
2,Mucus_C27_T0_2,Mucus,Control_27,27,27,T0,1,2,0.226743114,0.010105857,0.044569631,312602.0409,3.216666667,0.566666667
3,Mucus_C27_T0_3,Mucus,Control_27,27,27,T0,1,3,0.161080183,0,0,469230.8688,0,0
4,Mucus_C27_T0_4,Mucus,Control_27,27,27,T0,1,4,0.134326997,0.020823438,0.155020498,445980.9472,3.608333333,1.316666667
5,Mucus_C27_T0_5,Mucus,Control_27,27,27,T0,1,5,0.098303388,0.01628381,0.165648513,451976.2009,0.863333333,0.683333333
6,Mucus_C27_T1_1,Mucus,Control_27,27,27,T1,4,1,0.229487289,0.053199026,0.231816874,79520.99426,1.475,0.316666667
7,Mucus_C27_T1_2,Mucus,Control_27,27,27,T1,4,2,0.233288735,0.026810978,0.114926158,183314.1094,3.891666667,0.816666667
8,Mucus_C27_T1_3,Mucus,Control_27,27,27,T1,4,3,0.38017934,0.068164136,0.179294688,79946.98573,3.241666667,1.183333333
9,Mucus_C27_T1_4,Mucus,Control_27,27,27,T1,4,4,0.165826653,0,0,178240.971,1.808333333,0.733333333
10,Mucus_C27_T1_5,Mucus,Control_27,27,27,T1,4,5,0,0.009508888,0,155048.9214,15.93333333,0.916666667
11,Mucus_C27_T2_1,Mucus,Control_27,27,27,T2,8,1,0.140521979,0.036512237,0.259832926,285627.4701,0.633333333,0.425
12,Mucus_C27_T2_2,Mucus,Control_27,27,27,T2,8,2,0.141458642,0.101718304,0.719067443,278998.2338,4.133333333,0.975
13,Mucus_C27_T2_3,Mucus,Control_27,27,27,T2,8,3,0,0.079273444,0,62557.12428,1.183333333,0.5
14,Mucus_C27_T2_4,Mucus,Control_27,27,27,T2,8,4,0.123909665,0,0,281480.2738,3.266666667,0.641666667
15,Mucus_C27_T2_5,Mucus,Control_27,27,27,T2,8,5,0.189528667,0.028069781,0.148103089,58139.6092,1.716666667,0.3
16,Mucus_C27_T3_1,Mucus,Control_27,27,27,T3,11,1,0.487514603,0.080345217,0.164805765,59770.12258,0.4,0.25
17,Mucus_C27_T3_2,Mucus,Control_27,27,27,T3,11,2,0.067950425,0.005363996,0.078939845,269860.2015,14.775,0.239166667
18,Mucus_C27_T3_3,Mucus,Control_27,27,27,T3,11,3,0.100002141,0,0,324898.0566,2.75,1.158333333
19,Mucus_C27_T3_4,Mucus,Control_27,27,27,T3,11,4,0.425339928,0.048467956,0.113951108,145775.5341,1.6,0.2725
20,Mucus_C27_T3_5,Mucus,Control_27,27,27,T3,11,5,0.110775764,0,0,334026.1169,6.975,1.058333333
31,Mucus_T32_T0_1,Mucus,Temperature_32,32,27,T0,1,1,0.334523358,0.062254131,0.186098009,75936.28481,4.316666667,0.858333333
32,Mucus_T32_T0_2,Mucus,Temperature_32,32,27,T0,1,2,0.307235625,0.060350372,0.196430254,79751.72683,3.183333333,1.125
33,Mucus_T32_T0_3,Mucus,Temperature_32,32,27,T0,1,3,0.263771001,0.082375769,0.312300324,87215.29757,1.55,0.25
34,Mucus_T32_T0_4,Mucus,Temperature_32,32,27,T0,1,4,0.098041828,0,0,277066.0868,12.46666667,0.9
35,Mucus_T32_T0_5,Mucus,Temperature_32,32,27,T0,1,5,0,0,0,349807.9983,11.38333333,0.833333333
36,Mucus_T32_T1_1,Mucus,Temperature_32,32,30,T1,4,1,0.152463894,0.011406154,0.074812165,142946.1678,4.708333333,0.966666667
37,Mucus_T32_T1_2,Mucus,Temperature_32,32,30,T1,4,2,0,0.003113414,0,176508.629,12.48333333,0.65
38,Mucus_T32_T1_3,Mucus,Temperature_32,32,30,T1,4,3,0.208819948,0,0,165995.5425,1.725,0.375
39,Mucus_T32_T1_4,Mucus,Temperature_32,32,30,T1,4,4,0.396328203,0,0,152205.3798,7.391666667,1.008333333
40,Mucus_T32_T1_5,Mucus,Temperature_32,32,30,T1,4,5,0.097899639,0.059033355,0.6029987,165837.0779,7.591666667,0.608333333
41,Mucus_T32_T2_1,Mucus,Temperature_32,32,32,T2,8,1,0,0,0,59612.3117,40.225,1.466666667
42,Mucus_T32_T2_2,Mucus,Temperature_32,32,32,T2,8,2,0.099823996,0.278922773,2.794145538,174016.4824,67.725,1.508333333
43,Mucus_T32_T2_3,Mucus,Temperature_32,32,32,T2,8,3,0,0,0,0,110.7833333,1.891666667
44,Mucus_T32_T2_4,Mucus,Temperature_32,32,32,T2,8,4,0.072949837,0.285881085,3.918872156,238838.749,54.75833333,0.641666667
45,Mucus_T32_T2_5,Mucus,Temperature_32,32,32,T2,8,5,0.062016224,0.159187381,2.566866712,323969.8641,82.65,1.691666667
46,Mucus_T32_T3_1,Mucus,Temperature_32,32,32,T3,11,1,0.671771044,0.193639257,0.288251866,164222.2402,29.40833333,2.908333333
47,Mucus_T32_T3_2,Mucus,Temperature_32,32,32,T3,11,2,0,0,0,151943.08,32.99166667,1.05
48,Mucus_T32_T3_3,Mucus,Temperature_32,32,32,T3,11,3,0.410357317,0,0,153801.3982,63.36666667,1.983333333
49,Mucus_T32_T3_4,Mucus,Temperature_32,32,32,T3,11,4,0.716353914,0.149624392,0.208869372,148097.8458,177.325,1.758333333
50,Mucus_T32_T3_5,Mucus,Temperature_32,32,32,T3,11,5,0,0.103012381,0,145387.943,112.6333333,1.141666667
